Upper and lower bounds for the problem
Iteration: 297;  Base position: -50.82351820316603 mm; Feasibility: YES!; Manipulability: 0.162 
Iteration: 298;  Base position: 387.4983309469535 mm; Feasibility: YES!; Manipulability: 0.11524 
Iteration: 299;  Base position: -88.88079336187457 mm; Feasibility: YES!; Manipulability: 0.18845 
Iteration 300; Item picked: Cube_12; Base position: 1482.741842245684 mm; Feasibility: NO! 
Iteration: 301;  Base position: 633.5788583838453 mm; Feasibility: YES!; Manipulability: 0.11468 
Iteration: 302;  Base position: 140.29868459284535 mm; Feasibility: YES!; Manipulability: 0.14637 
Iteration: 303;  Base position: 133.51745576407575 mm; Feasibility: YES!; Manipulability: 0.13422 
Iteration: 304;  Base position: -93.5752927969263 mm; Feasibility: YES!; Manipulability: 0.1799 
Iteration 305; Item picked: Cube_11; Base position: 1108.845256162468 mm; Feasibility: NO! 
Iteration 306; Item picked: Cube_12; Base position: 1366.9318991616092 mm; Feasibility: NO! 
Iteration 307; Item picked: Cube_12; Base position: -376.58545001286234 mm; Feasibility: NO! 
Iteration: 308;  Base position: -150.67344050150223 mm; Feasibility: YES!; Manipulability: 0.16769 
Iteration 309; Item picked: Cube_10; Base position: 1074.2737215914622 mm; Feasibility: NO! 
Iteration 310; Item picked: Cube_11; Base position: 954.4423488207858 mm; Feasibility: NO! 
Iteration: 311;  Base position: 945.8745719162866 mm; Feasibility: YES!; Manipulability: 0.0914 
Iteration 312; Item picked: Cube_11; Base position: -638.8675545143504 mm; Feasibility: NO! 
Iteration 313; Item picked: Cube_12; Base position: -597.3267392279733 mm; Feasibility: NO! 
Iteration 314; Item picked: Cube_10; Base position: -1481.8941182373305 mm; Feasibility: NO! 
Iteration 315; Item picked: Cube_10; Base position: -1217.0466781572995 mm; Feasibility: NO! 
Iteration 316; Item picked: Cube_10; Base position: 1176.1219876722544 mm; Feasibility: NO! 
Iteration 317; Item picked: Cube_10; Base position: -947.3370747867532 mm; Feasibility: NO! 
Iteration 318; Item picked: Cube_12; Base position: -1102.8278020276668 mm; Feasibility: NO! 
Iteration 319; Item picked: Cube_11; Base position: -1495.7445353077542 mm; Feasibility: NO! 
Iteration 320; Item picked: Cube_10; Base position: -918.8783116296497 mm; Feasibility: NO! 
Iteration: 321;  Base position: 473.8431094029429 mm; Feasibility: YES!; Manipulability: 0.11523 
Iteration 322; Item picked: Cube_12; Base position: -1282.1874312733755 mm; Feasibility: NO! 
Iteration: 323;  Base position: -46.96971388974339 mm; Feasibility: YES!; Manipulability: 0.14077 
Iteration 324; Item picked: Cube_10; Base position: -857.3266377553949 mm; Feasibility: NO! 
Iteration 325; Item picked: Cube_11; Base position: -461.41499086556564 mm; Feasibility: NO! 
Iteration 326; Item picked: Cube_12; Base position: -1328.505601922478 mm; Feasibility: NO! 
Iteration 327; Item picked: Cube_11; Base position: -1003.9125870267203 mm; Feasibility: NO! 
Iteration 328; Item picked: Cube_11; Base position: 1293.2891736165338 mm; Feasibility: NO! 
Iteration: 329;  Base position: 42.15680934845068 mm; Feasibility: YES!; Manipulability: 0.15111 
Iteration 330; Item picked: Cube_11; Base position: -1380.8567929708465 mm; Feasibility: NO! 
Iteration: 331;  Base position: -471.91748175566477 mm; Feasibility: YES!; Manipulability: 0.15179 
Iteration 332; Item picked: Cube_10; Base position: -1326.0448733038172 mm; Feasibility: NO! 
Iteration 333; Item picked: Cube_12; Base position: 1496.5969600212456 mm; Feasibility: NO! 
Iteration 334; Item picked: Cube_12; Base position: -1350.2958292227827 mm; Feasibility: NO! 
Iteration: 335;  Base position: 853.4922813508174 mm; Feasibility: YES!; Manipulability: 0.09081 
Iteration 336; Item picked: Cube_12; Base position: 1486.1243088484853 mm; Feasibility: NO! 
Iteration 337; Item picked: Cube_12; Base position: 1252.6409908400556 mm; Feasibility: NO! 
Iteration: 338;  Base position: 455.319253305109 mm; Feasibility: YES!; Manipulability: 0.11642 
Iteration: 339;  Base position: -95.00751734932078 mm; Feasibility: YES!; Manipulability: 0.14399 
Iteration: 340;  Base position: 305.2806504111088 mm; Feasibility: YES!; Manipulability: 0.12631 
Iteration 341; Item picked: Cube_11; Base position: -607.7530537092791 mm; Feasibility: NO! 
Iteration: 342;  Base position: -351.16212649515796 mm; Feasibility: YES!; Manipulability: 0.15937 
Iteration 343; Item picked: Cube_11; Base position: -611.9083910660489 mm; Feasibility: NO! 
Iteration: 344;  Base position: -262.5888475928464 mm; Feasibility: YES!; Manipulability: 0.15448 
Iteration 345; Item picked: Cube_12; Base position: -485.34595610965096 mm; Feasibility: NO! 
Iteration: 346;  Base position: -258.04597760835986 mm; Feasibility: YES!; Manipulability: 0.17036 
Iteration: 347;  Base position: 53.408064083330146 mm; Feasibility: YES!; Manipulability: 0.15021 
Iteration: 348;  Base position: -107.36611219681163 mm; Feasibility: YES!; Manipulability: 0.18031 
Iteration 349; Item picked: Cube_10; Base position: -744.0607301239028 mm; Feasibility: NO! 
Iteration 350; Item picked: Cube_10; Base position: -1024.8210217366611 mm; Feasibility: NO! 
Iteration 351; Item picked: Cube_11; Base position: 1165.6501713423695 mm; Feasibility: NO! 
Iteration: 352;  Base position: -112.55529045252729 mm; Feasibility: YES!; Manipulability: 0.1801 
Iteration: 353;  Base position: 209.1865110050553 mm; Feasibility: YES!; Manipulability: 0.13443 
Iteration: 354;  Base position: 343.02198408578465 mm; Feasibility: YES!; Manipulability: 0.1452 
Iteration: 355;  Base position: -252.2973053177259 mm; Feasibility: YES!; Manipulability: 0.15638 
Iteration 356; Item picked: Cube_11; Base position: -850.8352263928183 mm; Feasibility: NO! 
Iteration 357; Item picked: Cube_11; Base position: -1230.3254492236993 mm; Feasibility: NO! 
Iteration 358; Item picked: Cube_12; Base position: 1395.7828550862187 mm; Feasibility: NO! 
Iteration: 359;  Base position: 200.29915212374362 mm; Feasibility: YES!; Manipulability: 0.14124 
Iteration 360; Item picked: Cube_11; Base position: -997.8946247781823 mm; Feasibility: NO! 
Iteration 361; Item picked: Cube_12; Base position: 1273.468909485036 mm; Feasibility: NO! 
Iteration 362; Item picked: Cube_12; Base position: -1289.7906128929278 mm; Feasibility: NO! 
Iteration 363; Item picked: Cube_10; Base position: 1409.6106822369834 mm; Feasibility: NO! 
Iteration: 364;  Base position: -510.04374654701064 mm; Feasibility: YES!; Manipulability: 0.1411 
Iteration 365; Item picked: Cube_10; Base position: -1048.3901200219439 mm; Feasibility: NO! 
Iteration 366; Item picked: Cube_10; Base position: -1249.4352338683223 mm; Feasibility: NO! 
Iteration: 367;  Base position: -420.20146429071565 mm; Feasibility: YES!; Manipulability: 0.15448 
Iteration 368; Item picked: Cube_10; Base position: -1087.567477519502 mm; Feasibility: NO! 
Iteration: 369;  Base position: -56.25232959409641 mm; Feasibility: YES!; Manipulability: 0.1825 
Iteration: 370;  Base position: 96.61742546746564 mm; Feasibility: YES!; Manipulability: 0.14542 
Iteration 371; Item picked: Cube_12; Base position: -429.7905741816455 mm; Feasibility: NO! 
Iteration: 372;  Base position: 939.175374806432 mm; Feasibility: YES!; Manipulability: 0.09467 
Iteration 373; Item picked: Cube_12; Base position: -538.5475005925193 mm; Feasibility: NO! 
Iteration 374; Item picked: Cube_12; Base position: -639.0856677142433 mm; Feasibility: NO! 
Iteration 375; Item picked: Cube_11; Base position: 1000.5056695804869 mm; Feasibility: NO! 
Iteration 376; Item picked: Cube_10; Base position: -1278.728474076678 mm; Feasibility: NO! 
Iteration 377; Item picked: Cube_11; Base position: -1335.814664151384 mm; Feasibility: NO! 
Iteration 378; Item picked: Cube_10; Base position: -1433.5556310274837 mm; Feasibility: NO! 
Iteration 379; Item picked: Cube_11; Base position: 1121.4717342016038 mm; Feasibility: NO! 
Iteration 380; Item picked: Cube_10; Base position: -868.3050950565726 mm; Feasibility: NO! 
Iteration 381; Item picked: Cube_10; Base position: -1240.3134612947836 mm; Feasibility: NO! 
Iteration 382; Item picked: Cube_11; Base position: -1000.1209711578138 mm; Feasibility: NO! 
Iteration: 383;  Base position: -227.3832415596155 mm; Feasibility: YES!; Manipulability: 0.15323 
Iteration 384; Item picked: Cube_11; Base position: -682.6210279537314 mm; Feasibility: NO! 
Iteration 385; Item picked: Cube_10; Base position: -1370.898966479825 mm; Feasibility: NO! 
Iteration: 386;  Base position: 62.88396694334119 mm; Feasibility: YES!; Manipulability: 0.14946 
Iteration: 387;  Base position: 695.6612169675641 mm; Feasibility: YES!; Manipulability: 0.131 
Iteration 388; Item picked: Cube_11; Base position: -531.1008318725196 mm; Feasibility: NO! 
Iteration: 389;  Base position: 250.01760111506223 mm; Feasibility: YES!; Manipulability: 0.15378 
Iteration 390; Item picked: Cube_10; Base position: 1060.3642074837198 mm; Feasibility: NO! 
Iteration 391; Item picked: Cube_12; Base position: -498.67811274443045 mm; Feasibility: NO! 
Iteration 392; Item picked: Cube_10; Base position: -759.3814052995659 mm; Feasibility: NO! 
Iteration: 393;  Base position: -221.85785282347933 mm; Feasibility: YES!; Manipulability: 0.15226 
Iteration: 394;  Base position: 73.64762827904929 mm; Feasibility: YES!; Manipulability: 0.12687 
Iteration: 395;  Base position: 479.45634049285763 mm; Feasibility: YES!; Manipulability: 0.12679 
Iteration 396; Item picked: Cube_10; Base position: -1267.9360178745774 mm; Feasibility: NO! 
Iteration: 397;  Base position: 539.6685162765623 mm; Feasibility: YES!; Manipulability: 0.13699 
Iteration: 398;  Base position: -216.2216231226746 mm; Feasibility: YES!; Manipulability: 0.15265 
Iteration: 399;  Base position: 30.596621797356647 mm; Feasibility: YES!; Manipulability: 0.16128 
Iteration: 400;  Base position: 458.2846680302198 mm; Feasibility: YES!; Manipulability: 0.12711 
Iteration 401; Item picked: Cube_12; Base position: -1215.7100764806812 mm; Feasibility: NO! 
Iteration: 402;  Base position: 591.704535397464 mm; Feasibility: YES!; Manipulability: 0.12531 
Iteration 403; Item picked: Cube_10; Base position: -727.4739641500845 mm; Feasibility: NO! 
Iteration 404; Item picked: Cube_10; Base position: -1034.6712997228208 mm; Feasibility: NO! 
Iteration: 405;  Base position: 658.3514437798258 mm; Feasibility: YES!; Manipulability: 0.11366 
Iteration: 406;  Base position: 685.9285771160735 mm; Feasibility: YES!; Manipulability: 0.12156 
Iteration 407; Item picked: Cube_12; Base position: -1194.882229652183 mm; Feasibility: NO! 
Iteration 408; Item picked: Cube_10; Base position: -1066.3721318142118 mm; Feasibility: NO! 
Iteration: 409;  Base position: -235.81041334395013 mm; Feasibility: YES!; Manipulability: 0.15336 
Iteration: 410;  Base position: -214.20186054815235 mm; Feasibility: YES!; Manipulability: 0.16922 
Iteration: 411;  Base position: -68.71269110617777 mm; Feasibility: YES!; Manipulability: 0.16302 
Iteration 412; Item picked: Cube_12; Base position: -1176.0067171150808 mm; Feasibility: NO! 
Iteration: 413;  Base position: -60.437482839647146 mm; Feasibility: YES!; Manipulability: 0.14021 
Iteration 414; Item picked: Cube_10; Base position: -1484.8545370932131 mm; Feasibility: NO! 
Iteration 415; Item picked: Cube_12; Base position: -1445.632096388379 mm; Feasibility: NO! 
Iteration 416; Item picked: Cube_11; Base position: 1409.7535339214023 mm; Feasibility: NO! 
Iteration 417; Item picked: Cube_11; Base position: 1309.0503684571722 mm; Feasibility: NO! 
Iteration: 418;  Base position: 811.1432078986509 mm; Feasibility: YES!; Manipulability: 0.1044 
Iteration 419; Item picked: Cube_11; Base position: -643.5145102800956 mm; Feasibility: NO! 
Iteration 420; Item picked: Cube_11; Base position: -919.6013326680065 mm; Feasibility: NO! 
Iteration: 421;  Base position: 701.1810345669996 mm; Feasibility: YES!; Manipulability: 0.12036 
Iteration 422; Item picked: Cube_10; Base position: -663.5462409618617 mm; Feasibility: NO! 
Iteration: 423;  Base position: -105.27915583183699 mm; Feasibility: YES!; Manipulability: 0.18796 
Iteration 424; Item picked: Cube_12; Base position: -1057.9289622231365 mm; Feasibility: NO! 
Iteration 425; Item picked: Cube_11; Base position: -592.0020615235716 mm; Feasibility: NO! 
Iteration 426; Item picked: Cube_12; Base position: 1181.968082022785 mm; Feasibility: NO! 
Iteration 427; Item picked: Cube_10; Base position: -1381.8805909850912 mm; Feasibility: NO! 
Iteration: 428;  Base position: -192.02273046122946 mm; Feasibility: YES!; Manipulability: 0.18125 
Iteration: 429;  Base position: 664.7922037988337 mm; Feasibility: YES!; Manipulability: 0.10344 
Iteration 430; Item picked: Cube_10; Base position: 1151.7551556693893 mm; Feasibility: NO! 
Iteration: 431;  Base position: -112.04239072542259 mm; Feasibility: YES!; Manipulability: 0.17024 
Iteration 432; Item picked: Cube_11; Base position: -798.8410332008308 mm; Feasibility: NO! 
Iteration: 433;  Base position: 382.7983851955803 mm; Feasibility: YES!; Manipulability: 0.16485 
Iteration 434; Item picked: Cube_12; Base position: 987.2370856756811 mm; Feasibility: NO! 
Iteration 435; Item picked: Cube_11; Base position: 1305.6266116693655 mm; Feasibility: NO! 
Iteration: 436;  Base position: -58.2606830512882 mm; Feasibility: YES!; Manipulability: 0.16246 
Iteration: 437;  Base position: -258.354358275109 mm; Feasibility: YES!; Manipulability: 0.17036 
Iteration 438; Item picked: Cube_11; Base position: -1314.8348939473283 mm; Feasibility: NO! 
Iteration 439; Item picked: Cube_10; Base position: -720.3978649240458 mm; Feasibility: NO! 
Iteration 440; Item picked: Cube_11; Base position: 1289.0102614322614 mm; Feasibility: NO! 
Iteration 441; Item picked: Cube_10; Base position: 1234.8187399463327 mm; Feasibility: NO! 
Iteration: 442;  Base position: 837.9660126039721 mm; Feasibility: YES!; Manipulability: 0.10388 
Iteration: 443;  Base position: -217.8453143833949 mm; Feasibility: YES!; Manipulability: 0.1691 
Iteration 444; Item picked: Cube_10; Base position: 1028.96380824057 mm; Feasibility: NO! 
Iteration 445; Item picked: Cube_10; Base position: -1206.7500748785346 mm; Feasibility: NO! 
Iteration: 446;  Base position: 638.5852862256088 mm; Feasibility: YES!; Manipulability: 0.11203 
Iteration 447; Item picked: Cube_12; Base position: 1082.169311070887 mm; Feasibility: NO! 
Iteration 448; Item picked: Cube_11; Base position: 974.5554543965004 mm; Feasibility: NO! 
Iteration: 449;  Base position: 885.1443264483992 mm; Feasibility: YES!; Manipulability: 0.09534 
Iteration 450; Item picked: Cube_12; Base position: -981.3910903858697 mm; Feasibility: NO! 
Iteration: 451;  Base position: 288.1244063957504 mm; Feasibility: YES!; Manipulability: 0.1468 
Iteration: 452;  Base position: -196.15997361587824 mm; Feasibility: YES!; Manipulability: 0.17552 
Iteration 453; Item picked: Cube_10; Base position: -666.0595405174483 mm; Feasibility: NO! 
Iteration 454; Item picked: Cube_12; Base position: -729.2862223239775 mm; Feasibility: NO! 
Iteration 455; Item picked: Cube_11; Base position: -959.7866095158007 mm; Feasibility: NO! 
Iteration: 456;  Base position: 163.64813705281745 mm; Feasibility: YES!; Manipulability: 0.15408 
Iteration 457; Item picked: Cube_11; Base position: 1185.8495765786101 mm; Feasibility: NO! 
Iteration: 458;  Base position: 422.4257829176306 mm; Feasibility: YES!; Manipulability: 0.13857 
Iteration: 459;  Base position: 587.0104179605746 mm; Feasibility: YES!; Manipulability: 0.10436 
Iteration 460; Item picked: Cube_10; Base position: 1190.2925639521295 mm; Feasibility: NO! 
Iteration: 461;  Base position: 98.54504606127966 mm; Feasibility: YES!; Manipulability: 0.12505 
Iteration 462; Item picked: Cube_12; Base position: -406.1598312932683 mm; Feasibility: NO! 
Iteration 463; Item picked: Cube_12; Base position: -1319.1681911936596 mm; Feasibility: NO! 
Iteration 464; Item picked: Cube_12; Base position: -1337.2711253377993 mm; Feasibility: NO! 
Iteration 465; Item picked: Cube_12; Base position: 1167.0257719075753 mm; Feasibility: NO! 
Iteration 466; Item picked: Cube_12; Base position: -419.8148052098352 mm; Feasibility: NO! 
Iteration: 467;  Base position: 654.2520860333948 mm; Feasibility: YES!; Manipulability: 0.13166 
Iteration: 468;  Base position: 605.9958193675434 mm; Feasibility: YES!; Manipulability: 0.13444 
Iteration: 469;  Base position: 610.1919396514841 mm; Feasibility: YES!; Manipulability: 0.11402 
Iteration 470; Item picked: Cube_11; Base position: 966.4554268305446 mm; Feasibility: NO! 
Iteration: 471;  Base position: 867.6906030598152 mm; Feasibility: YES!; Manipulability: 0.11404 
Iteration: 472;  Base position: -85.98322698598008 mm; Feasibility: YES!; Manipulability: 0.14333 
Iteration: 473;  Base position: 853.7057505231105 mm; Feasibility: YES!; Manipulability: 0.10233 
Iteration 474; Item picked: Cube_11; Base position: -597.334331872641 mm; Feasibility: NO! 
Iteration: 475;  Base position: 1065.9051598314554 mm; Feasibility: YES!; Manipulability: 0.05105 
Iteration: 476;  Base position: 308.0372309122879 mm; Feasibility: YES!; Manipulability: 0.16978 
Iteration 477; Item picked: Cube_10; Base position: -1387.6294546736688 mm; Feasibility: NO! 
Iteration 478; Item picked: Cube_10; Base position: 1326.9732110069594 mm; Feasibility: NO! 
Iteration 479; Item picked: Cube_10; Base position: -1197.6723838272069 mm; Feasibility: NO! 
Iteration: 480;  Base position: 382.9329231221727 mm; Feasibility: YES!; Manipulability: 0.14122 
Iteration 481; Item picked: Cube_11; Base position: -807.8628507859723 mm; Feasibility: NO! 
Iteration: 482;  Base position: 338.0206136948168 mm; Feasibility: YES!; Manipulability: 0.11629 
Iteration: 483;  Base position: 260.36087894665684 mm; Feasibility: YES!; Manipulability: 0.11199 
Iteration 484; Item picked: Cube_12; Base position: -1081.5766073503155 mm; Feasibility: NO! 
Iteration 485; Item picked: Cube_10; Base position: -1037.4712898881048 mm; Feasibility: NO! 
Iteration: 486;  Base position: 604.8022894042228 mm; Feasibility: YES!; Manipulability: 0.13605 
Iteration 487; Item picked: Cube_11; Base position: -1083.821696055889 mm; Feasibility: NO! 
Iteration: 488;  Base position: -113.23499552455246 mm; Feasibility: YES!; Manipulability: 0.16401 
Iteration: 489;  Base position: 158.7644285618394 mm; Feasibility: YES!; Manipulability: 0.1238 
Iteration: 490;  Base position: 132.3691329581825 mm; Feasibility: YES!; Manipulability: 0.17985 
Iteration 491; Item picked: Cube_10; Base position: -1347.3750788907719 mm; Feasibility: NO! 
Iteration: 492;  Base position: -217.59992645021907 mm; Feasibility: YES!; Manipulability: 0.17444 
Iteration 493; Item picked: Cube_12; Base position: -1320.1478874092725 mm; Feasibility: NO! 
Iteration 494; Item picked: Cube_10; Base position: -790.0779040736722 mm; Feasibility: NO! 
Iteration 495; Item picked: Cube_10; Base position: -771.2062243757638 mm; Feasibility: NO! 
Iteration: 496;  Base position: 172.9981465855726 mm; Feasibility: YES!; Manipulability: 0.12317 
Iteration 497; Item picked: Cube_12; Base position: -552.272100210207 mm; Feasibility: NO! 
Iteration 498; Item picked: Cube_11; Base position: -1307.9571300327434 mm; Feasibility: NO! 
Iteration 499; Item picked: Cube_12; Base position: -972.8753486382283 mm; Feasibility: NO! 
Iteration: 500;  Base position: -70.84697951324415 mm; Feasibility: YES!; Manipulability: 0.17951 
Iteration: 501;  Base position: 255.21372754761387 mm; Feasibility: YES!; Manipulability: 0.13868 
Iteration 502; Item picked: Cube_10; Base position: 1089.87884904576 mm; Feasibility: NO! 
Iteration 503; Item picked: Cube_12; Base position: -1244.8953045174803 mm; Feasibility: NO! 
Iteration 504; Item picked: Cube_10; Base position: -684.486090654256 mm; Feasibility: NO! 
Iteration 505; Item picked: Cube_12; Base position: 1457.485917017359 mm; Feasibility: NO! 
Iteration 506; Item picked: Cube_10; Base position: -863.5425337564601 mm; Feasibility: NO! 
Iteration 507; Item picked: Cube_12; Base position: 1231.2200074379234 mm; Feasibility: NO! 
Iteration: 508;  Base position: -287.14925294389263 mm; Feasibility: YES!; Manipulability: 0.15507 
Iteration 509; Item picked: Cube_12; Base position: -1380.0970942203244 mm; Feasibility: NO! 
Iteration 510; Item picked: Cube_10; Base position: -1472.5593068025282 mm; Feasibility: NO! 
Iteration: 511;  Base position: 103.02491017516263 mm; Feasibility: YES!; Manipulability: 0.12826 
Iteration: 512;  Base position: 429.7907788299708 mm; Feasibility: YES!; Manipulability: 0.16164 
Iteration: 513;  Base position: 595.5786999925604 mm; Feasibility: YES!; Manipulability: 0.12653 
Iteration 514; Item picked: Cube_10; Base position: -997.2346674000148 mm; Feasibility: NO! 
Iteration: 515;  Base position: 532.1280312063047 mm; Feasibility: YES!; Manipulability: 0.11394 
Iteration: 516;  Base position: 135.8718222642574 mm; Feasibility: YES!; Manipulability: 0.12094 
Iteration: 517;  Base position: -294.4964833022366 mm; Feasibility: YES!; Manipulability: 0.16627 
Iteration: 518;  Base position: 797.7893117431022 mm; Feasibility: YES!; Manipulability: 0.1142 
Iteration: 519;  Base position: 284.10318241059576 mm; Feasibility: YES!; Manipulability: 0.12927 
Iteration 520; Item picked: Cube_11; Base position: -928.9815968451286 mm; Feasibility: NO! 
Iteration 521; Item picked: Cube_10; Base position: -1287.3954985398748 mm; Feasibility: NO! 
Iteration: 522;  Base position: -32.019513590001225 mm; Feasibility: YES!; Manipulability: 0.13786 
Iteration 523; Item picked: Cube_12; Base position: 1232.5746969655866 mm; Feasibility: NO! 
Iteration: 524;  Base position: 612.9448065428332 mm; Feasibility: YES!; Manipulability: 0.11202 
Iteration: 525;  Base position: -227.5264940659497 mm; Feasibility: YES!; Manipulability: 0.1754 
Iteration 526; Item picked: Cube_12; Base position: 932.3096386881084 mm; Feasibility: NO! 
Iteration 527; Item picked: Cube_12; Base position: 1404.468261377372 mm; Feasibility: NO! 
Iteration 528; Item picked: Cube_10; Base position: -898.0766876386923 mm; Feasibility: NO! 
Iteration: 529;  Base position: 656.5754548259738 mm; Feasibility: YES!; Manipulability: 0.11043 
Iteration: 530;  Base position: 883.7247432062736 mm; Feasibility: YES!; Manipulability: 0.09543 
Iteration 531; Item picked: Cube_12; Base position: 1407.7825055745993 mm; Feasibility: NO! 
Iteration 532; Item picked: Cube_10; Base position: -724.0848578359319 mm; Feasibility: NO! 
Iteration 533; Item picked: Cube_12; Base position: -608.9475532737616 mm; Feasibility: NO! 
Iteration: 534;  Base position: -372.9618616814023 mm; Feasibility: YES!; Manipulability: 0.15644 
Iteration 535; Item picked: Cube_12; Base position: -785.6321646936649 mm; Feasibility: NO! 
Iteration 536; Item picked: Cube_12; Base position: -1169.1839111981196 mm; Feasibility: NO! 
Iteration 537; Item picked: Cube_11; Base position: -653.7061763836142 mm; Feasibility: NO! 
Iteration: 538;  Base position: 995.4498392807031 mm; Feasibility: YES!; Manipulability: 0.08747 
Iteration: 539;  Base position: 623.370836274994 mm; Feasibility: YES!; Manipulability: 0.12412 
Iteration 540; Item picked: Cube_12; Base position: -1306.9492645103658 mm; Feasibility: NO! 
Iteration 541; Item picked: Cube_12; Base position: -1459.2576388899747 mm; Feasibility: NO! 
Iteration 542; Item picked: Cube_10; Base position: -881.9612119419367 mm; Feasibility: NO! 
Iteration 543; Item picked: Cube_12; Base position: -569.777322228768 mm; Feasibility: NO! 
Iteration 544; Item picked: Cube_11; Base position: -934.5038345435667 mm; Feasibility: NO! 
Iteration: 545;  Base position: 406.76708159023474 mm; Feasibility: YES!; Manipulability: 0.11909 
Iteration: 546;  Base position: 132.55467574239424 mm; Feasibility: YES!; Manipulability: 0.14234 
Iteration 547; Item picked: Cube_10; Base position: 992.33772917432 mm; Feasibility: NO! 
Iteration 548; Item picked: Cube_10; Base position: 1428.3637737206855 mm; Feasibility: NO! 
Iteration: 549;  Base position: -130.15409558164606 mm; Feasibility: YES!; Manipulability: 0.16701 
Iteration 550; Item picked: Cube_11; Base position: -720.9177509411585 mm; Feasibility: NO! 
Iteration 551; Item picked: Cube_12; Base position: -878.0288656083485 mm; Feasibility: NO! 
Iteration 552; Item picked: Cube_11; Base position: 1270.5725766984606 mm; Feasibility: NO! 
Iteration 553; Item picked: Cube_10; Base position: 1036.4473899608656 mm; Feasibility: NO! 
Iteration: 554;  Base position: -453.59267482522455 mm; Feasibility: YES!; Manipulability: 0.15306 
Iteration: 555;  Base position: -524.5977445672097 mm; Feasibility: YES!; Manipulability: 0.13763 
Iteration 556; Item picked: Cube_10; Base position: -682.9418493161395 mm; Feasibility: NO! 
Iteration 557; Item picked: Cube_12; Base position: -725.7655866503325 mm; Feasibility: NO! 
Iteration: 558;  Base position: 714.6106801541441 mm; Feasibility: YES!; Manipulability: 0.11908 
Iteration 559; Item picked: Cube_11; Base position: 1130.4565949647676 mm; Feasibility: NO! 
Iteration 560; Item picked: Cube_11; Base position: 1339.6124444119573 mm; Feasibility: NO! 
Iteration: 561;  Base position: 769.7494458644401 mm; Feasibility: YES!; Manipulability: 0.10572 
Iteration: 562;  Base position: -59.524327803448614 mm; Feasibility: YES!; Manipulability: 0.16715 
Iteration: 563;  Base position: 845.4900369475263 mm; Feasibility: YES!; Manipulability: 0.10314 
Iteration 564; Item picked: Cube_12; Base position: -947.8656918582733 mm; Feasibility: NO! 
Iteration 565; Item picked: Cube_11; Base position: -846.8776390575363 mm; Feasibility: NO! 
Iteration 566; Item picked: Cube_11; Base position: -450.5736964124276 mm; Feasibility: NO! 
Iteration: 567;  Base position: -460.1232728024645 mm; Feasibility: YES!; Manipulability: 0.15022 
Iteration 568; Item picked: Cube_11; Base position: -791.8084962659042 mm; Feasibility: NO! 
Iteration 569; Item picked: Cube_12; Base position: -1137.3176865367868 mm; Feasibility: NO! 
Iteration 570; Item picked: Cube_10; Base position: -1284.676766499925 mm; Feasibility: NO! 
Iteration: 571;  Base position: 232.8285089550011 mm; Feasibility: YES!; Manipulability: 0.15539 
Iteration: 572;  Base position: 852.5070739047569 mm; Feasibility: YES!; Manipulability: 0.07615 
Iteration 573; Item picked: Cube_11; Base position: -451.4716111576288 mm; Feasibility: NO! 
Iteration 574; Item picked: Cube_12; Base position: -633.3116332097846 mm; Feasibility: NO! 
Iteration 575; Item picked: Cube_11; Base position: -1160.510627551953 mm; Feasibility: NO! 
Iteration: 576;  Base position: -526.4259543599619 mm; Feasibility: YES!; Manipulability: 0.13959 
Iteration: 577;  Base position: 492.1815697689615 mm; Feasibility: YES!; Manipulability: 0.13233 
Iteration: 578;  Base position: 539.0650469691859 mm; Feasibility: YES!; Manipulability: 0.15286 
Iteration 579; Item picked: Cube_12; Base position: -479.225929044463 mm; Feasibility: NO! 
Iteration 580; Item picked: Cube_11; Base position: -587.5541881028188 mm; Feasibility: NO! 
Iteration: 581;  Base position: 55.250284553255824 mm; Feasibility: YES!; Manipulability: 0.17276 
Iteration 582; Item picked: Cube_12; Base position: -731.5720160428865 mm; Feasibility: NO! 
Iteration 583; Item picked: Cube_12; Base position: -1452.3828354573448 mm; Feasibility: NO! 
Iteration: 584;  Base position: 640.4656451434416 mm; Feasibility: YES!; Manipulability: 0.12278 
Iteration: 585;  Base position: 618.8746431847931 mm; Feasibility: YES!; Manipulability: 0.11201 
Iteration: 586;  Base position: -213.5352648025505 mm; Feasibility: YES!; Manipulability: 0.17434 
Iteration 587; Item picked: Cube_10; Base position: -762.0406861241217 mm; Feasibility: NO! 
Iteration: 588;  Base position: 867.4876673068352 mm; Feasibility: YES!; Manipulability: 0.10558 
Iteration: 589;  Base position: 973.0424635666509 mm; Feasibility: YES!; Manipulability: 0.09756 
Iteration 590; Item picked: Cube_10; Base position: -1482.3189950845942 mm; Feasibility: NO! 
Iteration 591; Item picked: Cube_11; Base position: -1079.9962763879632 mm; Feasibility: NO! 
Iteration: 592;  Base position: 251.4295999053361 mm; Feasibility: YES!; Manipulability: 0.13122 
Iteration: 593;  Base position: 871.6931889658445 mm; Feasibility: YES!; Manipulability: 0.06629 
Iteration: 594;  Base position: 593.2616672906543 mm; Feasibility: YES!; Manipulability: 0.1265 
Iteration 595; Item picked: Cube_11; Base position: -777.8635124332013 mm; Feasibility: NO! 
Iteration 596; Item picked: Cube_10; Base position: -609.5668461944636 mm; Feasibility: NO! 
