Upper and lower bounds for the problem
Iteration: 0;  Base position: 265.3319400773048 mm; Feasibility: YES!; Manipulability: 0.1295 
Iteration: 92;  Base position: 658.3575211470729 mm; Feasibility: YES!; Manipulability: 0.13152 
Iteration 93; Item picked: Cube_10; Base position: 1495.0516996555057 mm; Feasibility: NO! 
Iteration 94; Item picked: Cube_12; Base position: -951.8030189744678 mm; Feasibility: NO! 
Iteration: 95;  Base position: 921.6504686658068 mm; Feasibility: YES!; Manipulability: 0.10287 
Iteration: 96;  Base position: -289.928888386607 mm; Feasibility: YES!; Manipulability: 0.15556 
Iteration: 97;  Base position: -55.57988418783316 mm; Feasibility: YES!; Manipulability: 0.14535 
Iteration 98; Item picked: Cube_11; Base position: 1172.1533576106285 mm; Feasibility: NO! 
Iteration 99; Item picked: Cube_11; Base position: -829.4929093409903 mm; Feasibility: NO! 
Iteration: 100;  Base position: -50.30197207247943 mm; Feasibility: YES!; Manipulability: 0.16671 
Iteration: 101;  Base position: -140.26593322959957 mm; Feasibility: YES!; Manipulability: 0.15096 
Iteration: 102;  Base position: -369.04490452549044 mm; Feasibility: YES!; Manipulability: 0.15717 
Iteration: 103;  Base position: 159.53583960061565 mm; Feasibility: YES!; Manipulability: 0.12375 
Iteration 104; Item picked: Cube_10; Base position: -750.3371283628138 mm; Feasibility: NO! 
Iteration: 105;  Base position: 386.14825982166167 mm; Feasibility: YES!; Manipulability: 0.1521 
Iteration 106; Item picked: Cube_12; Base position: -1316.938369862281 mm; Feasibility: NO! 
Iteration: 107;  Base position: 488.36178400781546 mm; Feasibility: YES!; Manipulability: 0.13905 
Iteration: 108;  Base position: -245.12110376349233 mm; Feasibility: YES!; Manipulability: 0.17145 
Iteration 109; Item picked: Cube_12; Base position: 1268.7449353668171 mm; Feasibility: NO! 
Iteration 110; Item picked: Cube_12; Base position: -1124.090737305226 mm; Feasibility: NO! 
Iteration 111; Item picked: Cube_12; Base position: 1410.3164218892962 mm; Feasibility: NO! 
Iteration 112; Item picked: Cube_10; Base position: -663.141368096036 mm; Feasibility: NO! 
Iteration 113; Item picked: Cube_11; Base position: -1444.3082900402358 mm; Feasibility: NO! 
Iteration 114; Item picked: Cube_12; Base position: 1465.4633987977954 mm; Feasibility: NO! 
Iteration: 115;  Base position: 314.7732091083258 mm; Feasibility: YES!; Manipulability: 0.10906 
Iteration: 116;  Base position: 736.5580940668797 mm; Feasibility: YES!; Manipulability: 0.13528 
Iteration: 117;  Base position: 103.97829309333179 mm; Feasibility: YES!; Manipulability: 0.12826 
Iteration: 118;  Base position: -111.1822772583705 mm; Feasibility: YES!; Manipulability: 0.18014 
Iteration 119; Item picked: Cube_10; Base position: 907.3363987718576 mm; Feasibility: NO! 
Iteration 120; Item picked: Cube_11; Base position: -1128.3644505662023 mm; Feasibility: NO! 
Iteration 121; Item picked: Cube_12; Base position: -400.4990684310833 mm; Feasibility: NO! 
Iteration: 122;  Base position: -382.44566753400227 mm; Feasibility: YES!; Manipulability: 0.15416 
Iteration 123; Item picked: Cube_12; Base position: 1119.7511898964221 mm; Feasibility: NO! 
Iteration 124; Item picked: Cube_10; Base position: -664.8584202969984 mm; Feasibility: NO! 
Iteration 125; Item picked: Cube_10; Base position: 965.7420676387819 mm; Feasibility: NO! 
Iteration 126; Item picked: Cube_12; Base position: 1154.4223584219394 mm; Feasibility: NO! 
Iteration 127; Item picked: Cube_10; Base position: -734.8332265328031 mm; Feasibility: NO! 
Iteration: 128;  Base position: 746.880210515506 mm; Feasibility: YES!; Manipulability: 0.11772 
Iteration 129; Item picked: Cube_12; Base position: -431.19040157286395 mm; Feasibility: NO! 
Iteration 130; Item picked: Cube_10; Base position: -805.0838530493318 mm; Feasibility: NO! 
Iteration: 131;  Base position: 113.94130299034009 mm; Feasibility: YES!; Manipulability: 0.18148 
Iteration 132; Item picked: Cube_10; Base position: 1125.303028759678 mm; Feasibility: NO! 
Iteration: 133;  Base position: -292.1041397277088 mm; Feasibility: YES!; Manipulability: 0.15273 
Iteration: 134;  Base position: 758.9029414109887 mm; Feasibility: YES!; Manipulability: 0.10745 
Iteration: 135;  Base position: 368.0064582591758 mm; Feasibility: YES!; Manipulability: 0.11663 
Iteration 136; Item picked: Cube_10; Base position: 1259.2538403808007 mm; Feasibility: NO! 
Iteration 137; Item picked: Cube_11; Base position: -1469.4086261402867 mm; Feasibility: NO! 
Iteration: 138;  Base position: 195.68232960963655 mm; Feasibility: YES!; Manipulability: 0.13178 
Iteration: 139;  Base position: 425.7386111062233 mm; Feasibility: YES!; Manipulability: 0.11584 
