Upper and lower bounds for the problem
Iteration 96; Item picked: Cube_01; Base position: 611.7939670256019 mm; Feasibility: NO! 
Iteration 97; Item picked: Cube_00; Base position: -1441.7428775177762 mm; Feasibility: NO! 
Iteration 98; Item picked: Cube_02; Base position: 1046.2365828433858 mm; Feasibility: NO! 
Iteration: 99;  Base position: -245.272136953379 mm; Feasibility: YES!; Manipulability: 0.16832 
Iteration: 100;  Base position: -86.46937866253302 mm; Feasibility: YES!; Manipulability: 0.17121 
Iteration 101; Item picked: Cube_02; Base position: -1003.7770207142942 mm; Feasibility: NO! 
Iteration: 102;  Base position: 367.04385670291276 mm; Feasibility: YES!; Manipulability: 0.12014 
Iteration 103; Item picked: Cube_01; Base position: -1248.9930548833183 mm; Feasibility: NO! 
Iteration 104; Item picked: Cube_00; Base position: -1289.6501457007214 mm; Feasibility: NO! 
Iteration 105; Item picked: Cube_01; Base position: 1095.8013129856708 mm; Feasibility: NO! 
Iteration 106; Item picked: Cube_00; Base position: -680.8074826588709 mm; Feasibility: NO! 
Iteration 107; Item picked: Cube_01; Base position: -1390.2953784637034 mm; Feasibility: NO! 
Iteration 108; Item picked: Cube_02; Base position: -789.4921212254559 mm; Feasibility: NO! 
Iteration 109; Item picked: Cube_02; Base position: -967.4507749337788 mm; Feasibility: NO! 
Iteration 110; Item picked: Cube_02; Base position: -874.539092217478 mm; Feasibility: NO! 
Iteration 111; Item picked: Cube_00; Base position: -850.0541919998169 mm; Feasibility: NO! 
Iteration 112; Item picked: Cube_02; Base position: -1109.0034831268574 mm; Feasibility: NO! 
Iteration: 113;  Base position: 267.08354636037484 mm; Feasibility: YES!; Manipulability: 0.15698 
Iteration 114; Item picked: Cube_01; Base position: 1439.8808440593803 mm; Feasibility: NO! 
Iteration: 115;  Base position: 194.24091170581164 mm; Feasibility: YES!; Manipulability: 0.1932 
Iteration: 116;  Base position: 500.75134704773814 mm; Feasibility: YES!; Manipulability: 0.11149 
Iteration 117; Item picked: Cube_02; Base position: 1341.5672676453878 mm; Feasibility: NO! 
Iteration 118; Item picked: Cube_00; Base position: -928.7895275824898 mm; Feasibility: NO! 
Iteration 119; Item picked: Cube_02; Base position: -1206.517782397028 mm; Feasibility: NO! 
Iteration 120; Item picked: Cube_02; Base position: 797.8796905720578 mm; Feasibility: NO! 
Iteration: 121;  Base position: -69.62243669487589 mm; Feasibility: YES!; Manipulability: 0.17902 
Iteration: 122;  Base position: 366.56203565041824 mm; Feasibility: YES!; Manipulability: 0.16474 
Iteration: 123;  Base position: 407.1528187416395 mm; Feasibility: YES!; Manipulability: 0.1714 
Iteration: 124;  Base position: -564.3085609502023 mm; Feasibility: YES!; Manipulability: 0.14058 
Iteration 125; Item picked: Cube_00; Base position: -649.1893322487165 mm; Feasibility: NO! 
Iteration 126; Item picked: Cube_02; Base position: -606.7240778347821 mm; Feasibility: NO! 
Iteration 127; Item picked: Cube_00; Base position: 665.3156027213095 mm; Feasibility: NO! 
Iteration 128; Item picked: Cube_02; Base position: -1286.5488647896111 mm; Feasibility: NO! 
Iteration 129; Item picked: Cube_01; Base position: -728.9183173571611 mm; Feasibility: NO! 
Iteration: 130;  Base position: -383.63394714824426 mm; Feasibility: YES!; Manipulability: 0.17338 
Iteration 131; Item picked: Cube_01; Base position: -815.9733116752412 mm; Feasibility: NO! 
Iteration 132; Item picked: Cube_02; Base position: 1145.9433107918667 mm; Feasibility: NO! 
Iteration: 133;  Base position: 353.57787822008845 mm; Feasibility: YES!; Manipulability: 0.17904 
Iteration 134; Item picked: Cube_00; Base position: -1207.932451280631 mm; Feasibility: NO! 
Iteration 135; Item picked: Cube_00; Base position: -748.5260951339665 mm; Feasibility: NO! 
Iteration: 136;  Base position: 151.36423818436288 mm; Feasibility: YES!; Manipulability: 0.20833 
Iteration 137; Item picked: Cube_02; Base position: -761.4488325151323 mm; Feasibility: NO! 
Iteration: 138;  Base position: -180.28468971492612 mm; Feasibility: YES!; Manipulability: 0.17015 
Iteration: 139;  Base position: -232.65122800771928 mm; Feasibility: YES!; Manipulability: 0.18167 
Iteration 140; Item picked: Cube_02; Base position: -577.8832096763166 mm; Feasibility: NO! 
Iteration 141; Item picked: Cube_01; Base position: 1207.9410896298077 mm; Feasibility: NO! 
Iteration 142; Item picked: Cube_01; Base position: 1096.6618905837404 mm; Feasibility: NO! 
Iteration: 143;  Base position: -111.27827368288104 mm; Feasibility: YES!; Manipulability: 0.21348 
Iteration 144; Item picked: Cube_02; Base position: 1424.6173739648161 mm; Feasibility: NO! 
Iteration 145; Item picked: Cube_01; Base position: -610.2727278329497 mm; Feasibility: NO! 
Iteration: 146;  Base position: 519.373080733583 mm; Feasibility: YES!; Manipulability: 0.11183 
Iteration 147; Item picked: Cube_02; Base position: 677.4341433336772 mm; Feasibility: NO! 
Iteration 148; Item picked: Cube_00; Base position: 733.6049207815395 mm; Feasibility: NO! 
Iteration 149; Item picked: Cube_01; Base position: 519.5662750382801 mm; Feasibility: NO! 
Iteration 150; Item picked: Cube_02; Base position: -821.8176031877406 mm; Feasibility: NO! 
Iteration: 151;  Base position: -251.8077500905149 mm; Feasibility: YES!; Manipulability: 0.18754 
Iteration 152; Item picked: Cube_00; Base position: 861.6356508180816 mm; Feasibility: NO! 
Iteration 153; Item picked: Cube_01; Base position: -1452.6909546402676 mm; Feasibility: NO! 
Iteration 154; Item picked: Cube_00; Base position: -1272.622591398388 mm; Feasibility: NO! 
Iteration: 155;  Base position: -293.8807428193595 mm; Feasibility: YES!; Manipulability: 0.16638 
Iteration 156; Item picked: Cube_01; Base position: -927.4110153257367 mm; Feasibility: NO! 
Iteration 157; Item picked: Cube_01; Base position: -1068.0319910661929 mm; Feasibility: NO! 
Iteration: 158;  Base position: -133.01750601464255 mm; Feasibility: YES!; Manipulability: 0.22731 
Iteration: 159;  Base position: 443.2441352514236 mm; Feasibility: YES!; Manipulability: 0.16495 
Iteration: 160;  Base position: 116.33642725269442 mm; Feasibility: YES!; Manipulability: 0.19731 
Iteration: 161;  Base position: -216.24794977046736 mm; Feasibility: YES!; Manipulability: 0.20677 
Iteration 162; Item picked: Cube_00; Base position: 681.6343960812178 mm; Feasibility: NO! 
Iteration 163; Item picked: Cube_00; Base position: -1061.0960016512363 mm; Feasibility: NO! 
Iteration 164; Item picked: Cube_01; Base position: 526.551282092332 mm; Feasibility: NO! 
Iteration: 165;  Base position: 459.3816543169278 mm; Feasibility: YES!; Manipulability: 0.16058 
Iteration: 166;  Base position: 3.1267665380967173 mm; Feasibility: YES!; Manipulability: 0.17172 
Iteration: 167;  Base position: -380.5427759780364 mm; Feasibility: YES!; Manipulability: 0.18684 
Iteration: 168;  Base position: 194.7326739792311 mm; Feasibility: YES!; Manipulability: 0.16885 
Iteration 169; Item picked: Cube_01; Base position: -1312.9009713227758 mm; Feasibility: NO! 
Iteration: 170;  Base position: 479.6232809230826 mm; Feasibility: YES!; Manipulability: 0.15364 
Iteration 171; Item picked: Cube_01; Base position: -864.3796071031312 mm; Feasibility: NO! 
Iteration 172; Item picked: Cube_00; Base position: -645.4005880078306 mm; Feasibility: NO! 
Iteration: 173;  Base position: -118.34269660340374 mm; Feasibility: YES!; Manipulability: 0.19958 
Iteration 174; Item picked: Cube_02; Base position: -1255.4092298080059 mm; Feasibility: NO! 
Iteration 175; Item picked: Cube_02; Base position: -1151.2793235661711 mm; Feasibility: NO! 
Iteration: 176;  Base position: 230.5961132861937 mm; Feasibility: YES!; Manipulability: 0.15684 
Iteration 177; Item picked: Cube_02; Base position: 702.1718594518115 mm; Feasibility: NO! 
Iteration 178; Item picked: Cube_01; Base position: -952.8097539846107 mm; Feasibility: NO! 
Iteration: 179;  Base position: 135.7472167574963 mm; Feasibility: YES!; Manipulability: 0.1747 
Iteration: 180;  Base position: -85.50815458791817 mm; Feasibility: YES!; Manipulability: 0.17907 
Iteration 181; Item picked: Cube_01; Base position: -958.9982367114214 mm; Feasibility: NO! 
Iteration: 182;  Base position: 56.66252484383426 mm; Feasibility: YES!; Manipulability: 0.22741 
Iteration: 183;  Base position: 36.20307493965015 mm; Feasibility: YES!; Manipulability: 0.2003 
Iteration: 184;  Base position: 14.38875220334262 mm; Feasibility: YES!; Manipulability: 0.20608 
Iteration: 185;  Base position: -479.15702797545816 mm; Feasibility: YES!; Manipulability: 0.16624 
Iteration: 186;  Base position: -403.09072113251796 mm; Feasibility: YES!; Manipulability: 0.16255 
Iteration: 187;  Base position: -149.6843382999391 mm; Feasibility: YES!; Manipulability: 0.15759 
Iteration 188; Item picked: Cube_00; Base position: -696.8332559155835 mm; Feasibility: NO! 
Iteration: 189;  Base position: -281.8946250525521 mm; Feasibility: YES!; Manipulability: 0.18539 
Iteration: 190;  Base position: -576.8495845995693 mm; Feasibility: YES!; Manipulability: 0.13766 
Iteration 191; Item picked: Cube_02; Base position: 908.7850335854109 mm; Feasibility: NO! 
Iteration 192; Item picked: Cube_00; Base position: 533.1205789698524 mm; Feasibility: NO! 
Iteration: 193;  Base position: 496.73375446892214 mm; Feasibility: YES!; Manipulability: 0.12456 
Iteration: 194;  Base position: -520.5615991566225 mm; Feasibility: YES!; Manipulability: 0.14875 
